Date,Home Team,Away Team,,,Overtime,Playoff Game,Neutral Venue,Home Odds Open,Home Odds Min,Home Odds Max,Home Odds Close,Away Odds Open,Away Odds Min,Away Odds Max,Away Odds Close,Home Line Open,Home Line Min,Home Line Max,Home Line Close,Away Line Open,Away Line Min,Away Line Max,Away Line Close,Home Line Odds Open,Home Line Odds Min,Home Line Odds Max,Home Line Odds Close,Away Line Odds Open,Away Line Odds Min,Away Line Odds Max,Away Line Odds Close,Total Score Open,Total Score Min,Total Score Max,Total Score Close,Total Score Over Open,Total Score Over Min,Total Score Over Max,Total Score Over Close,Total Score Under Open,Total Score Under Min,Total Score Under Max,Total Score Under Close
2/7/21,30,15,,,1,1,0,2.55,2.4,2.55,2.4,1.57,1.57,1.62,1.62,3.5,3,3.5,3,-3.5,-3.5,-3,-3,1.83,2,1.8,1.9,2,2.05,1.83,1.9,57,55.5,57,55.5,1.95,1.9,1.95,1.9,1.86,1.9,1.86,1.9
1/24/21,15,3,,,0,1,0,1.66,1.57,1.71,1.64,2.3,2.2,2.55,2.35,-2.5,-3,-2.5,-3,2.5,2.5,3,3,1.83,1.8,1.86,1.9,2,1.95,2.05,1.9,52,52,55.5,54.5,2.05,2.05,2,1.9,1.8,1.8,1.9,1.9
1/24/21,12,30,,,0,1,0,1.5,1.5,1.6,1.57,2.7,2.45,2.7,2.55,-4,-4,-3,-3,4,3,4,3,1.9,1.9,1.86,1.83,1.9,1.95,1.9,2,51,50.5,53,53,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/17/21,22,30,,,0,1,0,1.52,1.52,1.71,1.68,2.67,2.2,2.67,2.25,-3.5,-3.5,-2.5,-2.5,3.5,2.5,3.5,2.5,1.9,1.9,1.86,1.86,1.9,1.95,1.9,1.95,50,50,53,53,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/17/21,15,7,,,0,1,0,1.2,1.19,1.25,1.25,4.75,4.2,5,4.2,-10,-10,-8,-8,10,8,10,8,1.9,1.86,1.9,1.9,1.9,1.9,1.95,1.9,56,56,57.5,56,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/16/21,3,4,,,0,1,0,1.66,1.66,1.8,1.71,2.3,2.05,2.3,2.2,-3,-3,-2,-2.5,3,2,3,2.5,2.05,2,1.95,1.86,1.8,1.86,1.83,1.95,50,49.5,50,49.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/16/21,12,17,,,0,1,0,1.29,1.27,1.32,1.27,3.7,3.5,3.9,3.9,-7,-7,-6.5,-7,7,6.5,7,7,1.95,1.9,1.95,1.95,1.86,1.86,1.9,1.86,46,45,46,45,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/10/21,29,7,,,0,1,0,1.5,1.33,1.5,1.4,2.7,2.7,3.4,3.1,-3.5,-6,-3.5,-5.5,3.5,3.5,6,5.5,1.86,1.86,1.95,1.9,1.95,1.86,1.95,1.9,47,46.5,48,47.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/10/21,22,8,,,0,1,0,1.22,1.16,1.22,1.16,4.5,4.5,5.5,5.5,-9.5,-11,-9.5,-11,9.5,9.5,11,11,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,48,47,48.5,48,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/10/21,31,4,,,0,1,0,2.65,2.45,2.7,2.6,1.54,1.5,1.6,1.55,3.5,3,3.5,3.5,-3.5,-3.5,-3,-3.5,1.9,1.95,2.05,1.86,1.9,1.8,1.86,1.95,54,53.5,55,53.5,1.86,1.9,1.9,1.9,1.95,1.9,1.9,1.9
1/9/21,32,30,,,0,1,0,3.9,3.9,4.75,4.75,1.27,1.2,1.27,1.2,7.5,7.5,10,10,-7.5,-10,-7.5,-10,1.86,1.86,1.9,1.9,1.95,1.9,1.95,1.9,46.5,44.5,46.5,45,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/9/21,28,17,,,0,1,0,1.47,1.44,1.62,1.57,2.75,2.4,2.85,2.55,-4.5,-4.5,-3,-3,4.5,3,4.5,3,1.95,1.9,1.9,1.83,1.86,1.9,1.9,2,42.5,42,43,42.5,1.95,1.9,1.9,1.9,1.86,1.9,1.9,1.9
1/9/21,3,14,,,0,1,0,1.32,1.28,1.33,1.29,3.45,3.4,3.75,3.7,-6.5,-7,-6.5,-7,6.5,6.5,7,7,1.86,1.9,1.95,1.95,1.95,1.86,1.9,1.86,52,50.5,52,50.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/3/21,26,32,,,0,0,0,1.86,1.86,3.4,3.3,1.95,1.33,1.95,1.35,-1,-1,6.5,6.5,1,-6.5,1,-6.5,1.95,1.9,1.95,1.9,1.86,1.86,1.9,1.9,42.5,42.5,44,43.5,1.9,1.9,1.9,1.9,1.9,1.86,1.9,1.9
1/3/21,8,12,,,0,0,0,3.2,2.7,3.2,2.8,1.37,1.37,1.5,1.45,4,4,6,4.5,-4,-6,-4,-4.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9,50,48.5,52,48.5,1.9,1.9,2,1.9,1.9,1.9,1.9,1.9
1/3/21,10,25,,,0,0,0,1.9,1.9,2.3,2.25,1.9,1.66,1.9,1.68,-1,-1,3,2.5,1,-3,1,-2.5,1.95,1.86,1.8,2,1.86,2.05,1.95,1.83,51,50,51,50.5,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
1/3/21,15,16,,,0,0,0,2.65,2.65,3.4,3.4,1.54,1.33,1.54,1.33,3.5,3.5,6.5,6.5,-3.5,-6.5,-3.5,-6.5,1.9,1.9,1.95,1.95,1.9,1.86,1.9,1.86,44,42,44,43,1.9,1.83,1.95,1.9,1.9,1.95,1.9,1.9
1/3/21,17,2,,,0,0,0,1.83,1.76,2.6,1.83,2,1.55,2.1,2,-1,-1.5,3,-1,1,-3,1.5,1,1.95,1.86,2.1,1.9,1.86,1.76,1.95,1.9,39.5,39.5,42,42,1.9,1.9,1.9,1.9,1.9,1.9,1.9,1.9
